item_id,product_id,brand,product_line,product_class,product_size,standard_cost
86.0,33.0,Giant Bicycles,Standard,medium,small,"1167,18"
87.0,33.0,OHM Cycles,Road,medium,small,"1610,90"
88.0,34.0,Norco Bicycles,Road,high,large,"464,72"
89.0,34.0,WeareA2B,Standard,medium,medium,"161,60"
90.0,35.0,Trek Bicycles,Standard,low,medium,"154,40"
91.0,35.0,Giant Bicycles,Standard,medium,medium,"954,82"
92.0,36.0,Solex,Standard,low,medium,"507,58"
93.0,36.0,Solex,Standard,low,medium,"74,51"
94.0,37.0,OHM Cycles,Standard,low,medium,"248,82"
95.0,38.0,Trek Bicycles,Standard,medium,large,"388,92"
96.0,38.0,Solex,Standard,medium,medium,"826,51"
97.0,39.0,Giant Bicycles,Standard,medium,large,"582,48"
98.0,40.0,OHM Cycles,Standard,high,medium,"874,90"
99.0,40.0,Trek Bicycles,Road,medium,large,"598,76"
100.0,41.0,Solex,Road,medium,medium,"312,74"
101.0,41.0,Norco Bicycles,Standard,low,medium,"748,90"
102.0,42.0,OHM Cycles,Road,medium,small,"1610,90"
103.0,43.0,Solex,Standard,medium,medium,"649,49"
104.0,43.0,Norco Bicycles,Standard,medium,medium,"818,01"
105.0,44.0,WeareA2B,Standard,medium,medium,"108,76"
106.0,45.0,Solex,Standard,medium,medium,"84,99"
107.0,45.0,Trek Bicycles,Road,low,medium,"234,43"
108.0,46.0,Solex,Standard,low,medium,"74,51"
109.0,46.0,OHM Cycles,Standard,low,medium,"248,82"
110.0,47.0,Trek Bicycles,Road,low,small,"1531,42"
111.0,48.0,WeareA2B,Standard,medium,medium,"950,52"
112.0,49.0,Trek Bicycles,Road,medium,medium,"400,13"
113.0,49.0,Solex,Standard,medium,large,"733,58"
114.0,50.0,WeareA2B,Standard,medium,small,"131,92"
115.0,50.0,Giant Bicycles,Standard,medium,medium,"211,37"
116.0,51.0,OHM Cycles,Standard,high,medium,"1203,40"
117.0,52.0,OHM Cycles,Road,medium,medium,"829,51"
118.0,52.0,Solex,Road,medium,large,"820,78"
119.0,53.0,OHM Cycles,Standard,medium,medium,"101,58"
120.0,53.0,Giant Bicycles,Standard,high,medium,"764,96"
121.0,54.0,WeareA2B,Standard,medium,medium,"13,44"
122.0,54.0,WeareA2B,Standard,medium,medium,"778,69"
123.0,55.0,Trek Bicycles,Road,medium,large,"598,76"
124.0,56.0,OHM Cycles,Standard,medium,medium,"137,90"
125.0,56.0,Norco Bicycles,Mountain,low,small,"612,88"
126.0,57.0,WeareA2B,Touring,medium,large,"260,14"
127.0,58.0,OHM Cycles,Standard,medium,medium,"141,40"
128.0,58.0,OHM Cycles,Road,medium,medium,"829,51"
129.0,59.0,WeareA2B,Standard,medium,small,"1259,36"
130.0,59.0,Solex,Standard,medium,large,"733,58"
131.0,60.0,Giant Bicycles,Standard,high,small,"1759,85"
132.0,61.0,OHM Cycles,Standard,low,medium,"56,93"
133.0,61.0,Norco Bicycles,Standard,medium,small,"521,94"
134.0,62.0,Solex,Standard,medium,medium,"298,72"
135.0,62.0,Solex,Standard,high,medium,"614,80"
136.0,63.0,Solex,Standard,medium,medium,"99,59"
137.0,63.0,WeareA2B,Standard,medium,medium,"762,63"
138.0,64.0,Trek Bicycles,Standard,medium,large,"596,55"
139.0,64.0,Giant Bicycles,Standard,high,small,"1759,85"
140.0,65.0,WeareA2B,Standard,medium,medium,"778,69"
141.0,66.0,Solex,Standard,medium,medium,"589,27"
142.0,66.0,Giant Bicycles,Road,low,small,"525,33"
143.0,67.0,Solex,Standard,medium,large,"380,74"
144.0,67.0,Norco Bicycles,Road,medium,medium,"376,84"
145.0,68.0,OHM Cycles,Standard,medium,medium,"44,71"
146.0,69.0,Giant Bicycles,Road,medium,medium,"594,68"
147.0,69.0,Norco Bicycles,Road,medium,large,"795,10"
148.0,70.0,Trek Bicycles,Standard,high,medium,"297,43"
149.0,70.0,Norco Bicycles,Road,medium,medium,"206,35"
150.0,71.0,Solex,Standard,high,large,"1105,75"
151.0,72.0,Norco Bicycles,Standard,medium,medium,"270,30"
152.0,72.0,OHM Cycles,Standard,medium,medium,"141,40"
153.0,73.0,Solex,Standard,medium,medium,"333,18"
154.0,74.0,WeareA2B,Standard,medium,medium,"400,91"
155.0,74.0,WeareA2B,Standard,medium,medium,"950,52"
156.0,75.0,Giant Bicycles,Touring,medium,large,"863,95"
157.0,76.0,WeareA2B,Standard,low,medium,"513,85"
158.0,76.0,WeareA2B,Road,low,small,"1043,77"
159.0,77.0,Norco Bicycles,Road,medium,large,"795,10"
160.0,77.0,WeareA2B,Standard,medium,medium,"108,76"
161.0,78.0,Giant Bicycles,Standard,medium,large,"709,48"
162.0,79.0,Norco Bicycles,Standard,medium,medium,"818,01"
163.0,79.0,Solex,Touring,medium,large,"675,03"
164.0,80.0,OHM Cycles,Touring,low,medium,"933,84"
165.0,80.0,Trek Bicycles,Standard,medium,large,"596,55"
166.0,81.0,Solex,Standard,medium,medium,"649,49"
167.0,81.0,Norco Bicycles,Standard,medium,small,"521,94"
168.0,82.0,Giant Bicycles,Road,medium,medium,"829,65"
169.0,82.0,Norco Bicycles,Standard,high,medium,"689,18"
170.0,83.0,Solex,Touring,medium,large,"675,03"
171.0,84.0,Giant Bicycles,Road,medium,medium,"594,68"
172.0,84.0,Trek Bicycles,Road,medium,medium,"215,14"
173.0,85.0,WeareA2B,Standard,medium,medium,"205,36"
174.0,85.0,WeareA2B,Standard,medium,medium,"400,91"
175.0,86.0,OHM Cycles,Standard,medium,medium,"125,07"
176.0,86.0,Norco Bicycles,Road,high,large,"464,72"
177.0,87.0,Giant Bicycles,Standard,high,medium,"707,40"
178.0,87.0,OHM Cycles,Standard,medium,medium,"44,71"
179.0,88.0,Norco Bicycles,Standard,medium,medium,"381,10"
180.0,88.0,Norco Bicycles,Standard,high,small,"1479,11"
181.0,89.0,WeareA2B,Touring,medium,large,"57,74"
182.0,89.0,Giant Bicycles,Standard,medium,large,"582,48"
183.0,90.0,Norco Bicycles,Standard,low,medium,"290,41"
184.0,90.0,Solex,Standard,low,medium,"507,58"
185.0,91.0,WeareA2B,Standard,low,medium,"513,85"
186.0,91.0,Solex,Standard,medium,medium,"75,26"
187.0,92.0,WeareA2B,Standard,medium,small,"1259,36"
188.0,92.0,WeareA2B,Touring,medium,large,"260,14"
189.0,93.0,OHM Cycles,Standard,high,medium,"874,90"
190.0,93.0,WeareA2B,Standard,medium,medium,"230,09"
191.0,94.0,Giant Bicycles,Standard,medium,large,"993,66"
192.0,95.0,Giant Bicycles,Standard,medium,large,"528,43"
193.0,95.0,OHM Cycles,Touring,low,medium,"933,84"
194.0,96.0,Giant Bicycles,Standard,medium,large,"993,66"
195.0,96.0,WeareA2B,Road,low,small,"1043,77"
196.0,97.0,Solex,Standard,medium,large,"151,96"
197.0,97.0,OHM Cycles,Road,medium,medium,"667,40"
198.0,98.0,Trek Bicycles,Standard,high,medium,"215,03"
199.0,98.0,OHM Cycles,Standard,medium,medium,"101,58"
200.0,99.0,Trek Bicycles,Road,low,small,"1531,42"
201.0,99.0,OHM Cycles,Standard,medium,medium,"770,89"
202.0,100.0,Norco Bicycles,Road,medium,medium,"206,35"
203.0,100.0,Trek Bicycles,Standard,medium,small,"1234,29"
,,,,,,
